%eval_id interface             x1             x2             x3             x4         obj_fn 
1            NO_ID             -1              1              1             -1        2.00942 
2            NO_ID   -1.038447207    1.016290327    0.912543014  -0.9040763005        1.80168 
3            NO_ID   -1.192236035    1.081451634   0.5627150698  -0.5203815025        1.12235 
4            NO_ID   -1.233597916    1.098976927   0.4686279893  -0.4171858489       0.987929 
5            NO_ID   -1.255590895    1.107266971   0.3222098687   -0.269213168       0.812951 
6            NO_ID     -1.2664373     1.11135542           0.25  -0.1962366279       0.735294 
7            NO_ID   -1.288430279    1.119645465           0.25 -0.04826394702       0.671035 
8            NO_ID   -1.295603684    1.122349411           0.25              0       0.656569 
9            NO_ID  -0.9941744038   0.8149050275           0.25 -5.590086131e-16       0.612388 
10           NO_ID  -0.6854304467            0.5           0.25 -1.131582489e-15       0.563522 
11           NO_ID           -0.5            0.5           0.25 -1.475468182e-15       0.552634 
