%eval_id interface             x1         obj_fn 
1            NO_ID           -1.8      -0.122096 
2            NO_ID     -1.6901136      -0.109999 
3            NO_ID      -1.250568      -0.067704 
4            NO_ID  -0.7374107699     -0.0305512 
5            NO_ID  -0.6247668487     -0.0241463 
6            NO_ID  -0.1741911637    -0.00479785 
7            NO_ID  -0.1304055275    -0.00345136 
8            NO_ID -0.06520276426     -0.0016209 
9            NO_ID   0.1956082889     0.00360791 
10           NO_ID   0.4724268116     0.00549894 
11           NO_ID   0.4724268116     0.00549894 
12           NO_ID   0.4724268116     0.00549894 
13           NO_ID   0.4724268116     0.00549894 
14           NO_ID   0.4724268116     0.00549894 
15           NO_ID   0.4724268116     0.00549894 
16           NO_ID   0.4724268116     0.00549894 
