%eval_id interface             x1         banana       obj_fn_1       obj_fn_2 
1            NO_ID   -1.963091433    3.545188076      -0.141183      -0.141183 
2            NO_ID   -1.882357242    3.429370996      -0.131565      -0.131565 
3            NO_ID   -1.869750119    2.921635838      -0.130093      -0.130093 
4            NO_ID   -1.756907094    3.720331733      -0.117279      -0.117279 
5            NO_ID   -1.725544487    4.586219529      -0.113833      -0.113833 
6            NO_ID   -1.709008215    3.463169086      -0.112036      -0.112036 
7            NO_ID     -1.6901984    2.863510816      -0.110008      -0.110008 
8            NO_ID   -1.640872881     4.99226498      -0.104777      -0.104777 
9            NO_ID   -1.565876366     3.90388969     -0.0970574     -0.0970574 
10           NO_ID   -1.523830467    4.260469542     -0.0928541     -0.0928541 
11           NO_ID   -1.491532745    3.338040149     -0.0896858     -0.0896858 
12           NO_ID   -1.462221917    3.699993774     -0.0868559     -0.0868559 
13           NO_ID   -1.437465316    4.253543153     -0.0844998     -0.0844998 
14           NO_ID   -1.418197758    3.111345671      -0.082687      -0.082687 
15           NO_ID   -1.402776509    4.007981978     -0.0812497     -0.0812497 
16           NO_ID   -1.399956183    4.420037619     -0.0809883     -0.0809883 
17           NO_ID   -1.345057076     3.99605465     -0.0759757     -0.0759757 
18           NO_ID    -1.16701853    2.055918741     -0.0607604     -0.0607604 
19           NO_ID   -1.149550036    4.653492561     -0.0593529     -0.0593529 
20           NO_ID   -1.079624977     3.24484962     -0.0538707     -0.0538707 
21           NO_ID  -0.9806208429    4.231694887     -0.0465259     -0.0465259 
22           NO_ID  -0.8441064366    3.322289238     -0.0371975     -0.0371975 
23           NO_ID  -0.8434989955    4.112431656      -0.037158      -0.037158 
24           NO_ID  -0.8357537723    4.807231636     -0.0366567     -0.0366567 
25           NO_ID  -0.8112099975      4.8958388     -0.0350882     -0.0350882 
26           NO_ID  -0.7673660804    3.946086448     -0.0323602     -0.0323602 
27           NO_ID  -0.6843302793    4.026448579     -0.0274549     -0.0274549 
28           NO_ID  -0.5933620616    2.520480061     -0.0224727     -0.0224727 
29           NO_ID  -0.5471537796    4.559533747     -0.0200988     -0.0200988 
30           NO_ID  -0.4991011599    3.979583355     -0.0177421     -0.0177421 
31           NO_ID  -0.2259583162    2.024794304    -0.00651176    -0.00651176 
32           NO_ID  -0.1691296902    4.174356049    -0.00463733    -0.00463733 
33           NO_ID  -0.1628963552    3.411821738    -0.00444142    -0.00444142 
34           NO_ID  -0.1362418007    2.045791351     -0.0036251     -0.0036251 
35           NO_ID -0.04438859832    4.463691447    -0.00108077    -0.00108077 
36           NO_ID -0.02390705004    2.570987887   -0.000570029   -0.000570029 
37           NO_ID  0.01108802902    2.583642035    0.000254828    0.000254828 
38           NO_ID  0.01277877298    3.919823689    0.000293154    0.000293154 
39           NO_ID  0.01664847881    2.695690012    0.000380341    0.000380341 
40           NO_ID   0.1868254371    2.164476574     0.00348619     0.00348619 
41           NO_ID   0.1955222367    4.726744719     0.00360677     0.00360677 
42           NO_ID   0.2398209117      2.8754444     0.00416277     0.00416277 
43           NO_ID   0.4104959436     2.81578899     0.00540288     0.00540288 
44           NO_ID   0.4117940862    4.353211354     0.00540669     0.00540669 
45           NO_ID   0.5258840446    3.117386459     0.00542985     0.00542985 
46           NO_ID   0.5736007502    3.660032518     0.00525005     0.00525005 
47           NO_ID   0.5786592334    3.447603531     0.00522401     0.00522401 
48           NO_ID   0.7282602166    2.012878336      0.0038965      0.0038965 
49           NO_ID   0.7564066871    3.247046744     0.00352371     0.00352371 
50           NO_ID   0.8029755865    2.661392964     0.00282076     0.00282076 
51           NO_ID   0.8623335403    4.093086212      0.0017716      0.0017716 
52           NO_ID    1.014016875      3.8668273    -0.00170076    -0.00170076 
53           NO_ID    1.023882931    4.127157921     -0.0019653     -0.0019653 
54           NO_ID      1.0263517    3.984626703    -0.00203237    -0.00203237 
55           NO_ID    1.033255659     2.06386327    -0.00222152    -0.00222152 
56           NO_ID    1.065230892    3.637370537    -0.00312824    -0.00312824 
57           NO_ID    1.158010344    2.506669403    -0.00604436    -0.00604436 
58           NO_ID    1.179129701    2.087461708     -0.0067675     -0.0067675 
59           NO_ID    1.181713393    2.114335984    -0.00685748    -0.00685748 
60           NO_ID    1.197485236    4.848926178     -0.0074135     -0.0074135 
61           NO_ID    1.279935412    4.511700373     -0.0105221     -0.0105221 
62           NO_ID    1.349916198    4.687518752     -0.0134251     -0.0134251 
63           NO_ID    1.403076668    3.831103186     -0.0157913     -0.0157913 
64           NO_ID    1.416518291    3.490736123     -0.0164122     -0.0164122 
65           NO_ID    1.528037157    3.417496859     -0.0219056     -0.0219056 
66           NO_ID    1.546712209     3.14657753     -0.0228849     -0.0228849 
67           NO_ID    1.591854453     3.64155392     -0.0253267     -0.0253267 
68           NO_ID    1.598645434    4.198670841     -0.0257025     -0.0257025 
69           NO_ID    1.631027138    3.040524642     -0.0275256     -0.0275256 
70           NO_ID    1.680597373     4.18267993     -0.0304189     -0.0304189 
71           NO_ID     1.70168762    3.511220674     -0.0316868     -0.0316868 
72           NO_ID    1.732915816    4.517521356     -0.0336047     -0.0336047 
73           NO_ID    1.779894341    2.486772623     -0.0365812     -0.0365812 
74           NO_ID    1.828359856    3.586116082     -0.0397687     -0.0397687 
75           NO_ID    1.838244806    2.144077894      -0.040434      -0.040434 
76           NO_ID    1.843004433    4.657789364     -0.0407556     -0.0407556 
77           NO_ID    1.996035079    3.600733565     -0.0516972     -0.0516972 
78           NO_ID    2.069243841    4.640467696     -0.0573427     -0.0573427 
79           NO_ID    2.082559354    3.695966892     -0.0583991     -0.0583991 
80           NO_ID    2.084236263    2.836898022     -0.0585328     -0.0585328 
81           NO_ID    2.166772361    4.457270634     -0.0652873     -0.0652873 
82           NO_ID    2.172822882    2.575103776     -0.0657958     -0.0657958 
83           NO_ID    2.244595759    4.990916516     -0.0719702     -0.0719702 
84           NO_ID    2.273457315    3.759892279     -0.0745234     -0.0745234 
85           NO_ID    2.350151024    4.698768414     -0.0815175     -0.0815175 
86           NO_ID    2.416804667    4.120891373     -0.0878384     -0.0878384 
87           NO_ID    2.418144356    3.744522067     -0.0879678     -0.0879678 
88           NO_ID    2.505117391    4.997068393     -0.0965628     -0.0965628 
89           NO_ID    2.519411251    4.164113991     -0.0980104     -0.0980104 
90           NO_ID    2.538685502    4.401282608     -0.0999802     -0.0999802 
91           NO_ID    2.556793498     4.36308005      -0.101849      -0.101849 
92           NO_ID    2.647481788    4.715539688      -0.111457      -0.111457 
93           NO_ID    2.671668992    3.604648283      -0.114091      -0.114091 
94           NO_ID      2.6773067    3.043967004      -0.114709      -0.114709 
95           NO_ID     2.68020278    2.338624109      -0.115027      -0.115027 
96           NO_ID    2.709209213    4.667925669      -0.118238      -0.118238 
97           NO_ID    2.766340004    2.978689233      -0.124688      -0.124688 
98           NO_ID    2.786642394    4.162847692       -0.12702       -0.12702 
99           NO_ID    2.826206595    4.095671595      -0.131625      -0.131625 
100          NO_ID    2.835365321    4.510690615      -0.132705      -0.132705 
101          NO_ID   -1.709008215    2.583642035      -0.112036      -0.112036 
102          NO_ID     -1.6901984    3.867371231      -0.110008      -0.110008 
103          NO_ID     -1.6901984     4.36308005      -0.110008      -0.110008 
104          NO_ID   -1.437465316    3.322289238     -0.0844998     -0.0844998 
105          NO_ID   -1.418197758    2.570987887      -0.082687      -0.082687 
106          NO_ID   -1.402776509    3.660032518     -0.0812497     -0.0812497 
107          NO_ID  -0.8112099975    2.486772623     -0.0350882     -0.0350882 
108          NO_ID  -0.7673660804    4.990916516     -0.0323602     -0.0323602 
109          NO_ID  -0.6843302793    4.807231636     -0.0274549     -0.0274549 
110          NO_ID  -0.5471537796    3.940939561     -0.0200988     -0.0200988 
