%eval_id             x1             x2         obj_fn 
       1           -4.8           13.5    20.90313582 
       2   -4.726358261    13.51385039    18.85831599 
       3   -4.431791307    13.56925197    11.62158862 
       4   -3.389233258    13.76533426   0.9465361477 
       5    -3.43291153     13.7070394   0.7936277167 
       6   -3.502816845    13.61374083   0.7038816673 
       7   -3.500062874    13.61741639   0.7038025381 
       8   -3.470081118     13.5320918   0.5711332418 
       9   -3.350154095     13.1907934   0.1520457223 
      10   -3.128617981    12.56032732  -0.1678974618 
      11   -3.146568074    12.55312004  -0.1978081857 
      12   -3.210764745    12.52734393  -0.2360372552 
      13   -3.199664162    12.53180101  -0.2371361686 
      14   -3.166653277     12.3467912  -0.2623871919 
      15   -3.164364737    12.33396506  -0.2627672278 
      16   -3.159004055    12.30392107  -0.2629646837 
      17    -3.00811738    12.17435412   -0.125019406 
      18    -3.14239112    12.28965548  -0.2644123884 
      19   -3.146412828    12.29310894  -0.2644435083 
      20   -3.064974579    12.29848134  -0.1933631943 
      21   -3.143291665    12.29331484  -0.2644554812 
      22   -3.144771526    12.29321721  -0.2644771177 
      23   -3.123578482    12.29232029  -0.2596905159 
      24   -3.143318804    12.29315573   -0.264455937 
      25    -3.14426649    12.29319584  -0.2644748828 
      26   -3.144035995    12.29317021  -0.2644719502 
      27   -3.144463872    12.29319755  -0.2644763534 
      28   -3.144646306    12.29320921   -0.264477049 
