%eval_id             x1             x2         obj_fn 
       1              2              9    38.11382351 
       2    1.906866189    8.692231684     34.4762721 
       3    1.534330945    7.461158422    23.30129528 
       4   0.8644793084    5.247578762    16.41575734 
       5    1.296718963     4.91060854     13.1272317 
       6    3.025677579    3.562727653    1.902871582 
       7    3.066775399    3.530688155    1.867794467 
       8    3.058702312    3.378478724    1.520448618 
       9    3.026409964       2.769641   0.6427301393 
      10    3.006273677    2.389992814   0.5107608426 
      11    3.084421432    2.390044163   0.4404613937 
      12    3.131584208    2.390075152   0.4300463828 
      13    3.127705206    2.390072603   0.4299958264 
      14    3.174495936    1.954191586   0.5145178077 
      15    3.139504223    2.280158365   0.4191890906 
      16    3.139471432    2.280463825   0.4191891414 
      17    3.671965971    2.225913972    1.826419635 
      18     3.14482884    2.279615921   0.4190390972 
      19    3.148629282    2.279228752   0.4191145453 
      20    2.875484128    2.223862761   0.8418671734 
      21    3.142135393    2.279058389   0.4190804686 
      22    3.144109391    2.279466998   0.4190419249 
      23    3.140602004    2.278740985   0.4191415554 
      24    3.143935843    2.279431075    0.419043504 
      25    3.144503594    2.279548597   0.4190396332 
      26     3.14246628    2.279126882   0.4190708595 
      27    3.144156887     2.27947683   0.4190415534 
      28    3.144575898    2.279563563   0.4190394081 
