%eval_id             x1             x2         obj_fn 
       1             -4              1    179.7966921 
       2   -3.770520024       1.084054     162.316595 
       3   -2.852600118    1.420270001    104.4039171 
       4   -1.464348608    1.928759214    55.37298701 
       5   -1.042134325    2.214997389    45.65020382 
       6   0.2651245165    3.101247331    25.22248812 
       7    1.437115024    3.895792747    11.26095753 
       8     1.66993946    3.949284291    9.100330255 
       9    2.601237205     4.16325047    3.814003079 
      10    2.727870331    4.192344502    3.686875547 
      11    2.798710949    3.981338758    2.991806921 
      12     3.08207342    3.137315782    1.093714599 
      13    3.292507947    2.510515857   0.6433557336 
      14    3.246932644    2.453463416   0.5337306992 
      15    3.138559834    2.317799298   0.4203814517 
      16    3.130922582    2.308238772    0.420307673 
      17    3.912816319    1.910793199    3.130346358 
      18    3.142684363    2.302260124   0.4195296643 
      19    3.146142586    2.300502269   0.4195565545 
      20     2.84058328    1.842747458    1.337715549 
      21    3.137899259    2.294981712   0.4193850281 
      22    3.139245629    2.297029616     0.41937861 
      23    3.140629345    2.282101548   0.4191272432 
      24    3.140756745    2.280727105   0.4191243425 
      25    3.140807935    2.280174852   0.4191241384 
      26    3.149240828    2.272457151   0.4191366276 
      27    3.144779567    2.276540053   0.4190450866 
      28    3.145630733    2.275761074   0.4190478221 
      29    3.131127957    2.279784704   0.4200528603 
      30    3.143810974    2.276770264   0.4190540079 
      31     3.14451209    2.276603626   0.4190465955 
      32    3.141346902    2.277355913   0.4191197811 
      33    3.144162734    2.276686659   0.4190496633 
      34    3.144602948    2.276582031   0.4190460013 
