%eval_id	interface	x1	x2	obj_fn
1	NO_ID	-4.376632865	6.796923928	81.54155108
2	NO_ID	-3.13160256	8.236593141	16.5138635
3	NO_ID	7.823345702	2.24175073	10.91237262
4	NO_ID	9.582643932	4.378821385	3.641128588
5	NO_ID	2.50966608	9.230480846	43.35408454
6	NO_ID	3.390036283	7.875458816	34.17323543
7	NO_ID	-1.92938616	14.29994966	29.17685921
8	NO_ID	-0.729146646	10.67787966	29.0544155
9	NO_ID	8.650330489	9.669041412	63.50649352
10	NO_ID	5.287339386	12.52981559	143.6675391
11	NO_ID	-1.119130083	0.1089938581	75.56183051
12	NO_ID	-2.796220246	0.6654766308	117.4951976
13	NO_ID	7.47632015	7.146222711	47.46370282
14	NO_ID	-2.202181404	3.629703625	46.60394404
15	NO_ID	9.173674503	13.66503865	130.515518
16	NO_ID	0.42207196	14.79704164	107.982145
17	NO_ID	5.961962579	5.790469399	41.08235089
18	NO_ID	8.033634779	5.285308281	22.22517046
19	NO_ID	4.032220129	2.616278712	4.832180061
20	NO_ID	3.664129665	8.541886209	45.75712597
21	NO_ID	2.346759558	4.554165948	5.763762665
22	NO_ID	1.417345024	11.9173734	74.09327726
23	NO_ID	6.854115609	11.18819838	118.6383021
24	NO_ID	-0.4047469445	10.0044461	29.97592619
25	NO_ID	0.8572397909	1.882592441	24.39594729
26	NO_ID	-4.965738315	13.23810971	27.23395994
27	NO_ID	-3.5084137	3.238041438	99.75880786
28	NO_ID	1.903586339	12.46790645	88.39395538
29	NO_ID	4.884264149	6.201404934	35.58489819
30	NO_ID	6.097610074	1.057938651	19.43889564
